State,Crime Rate,Health Facilities,Police Presence,Hospital Access,Road Condition,Recent Incidents,Risk Level
Kebbi,2824,302,3,2,2,4,Low
Lagos,2679,2971,5,5,1,13,Medium
Adamawa,1488,583,2,5,2,19,Medium
Abia,10195,1014,5,2,4,14,High
Kano,5557,226,2,3,4,8,Medium
Bauchi,4527,3327,3,1,1,12,Medium
Anambra,6881,1608,5,1,3,14,Medium
Kaduna,3045,1750,1,3,5,20,High
Katsina,6925,2564,2,1,1,7,Medium
Nasarawa,5741,526,2,4,1,8,Medium
Gombe,11415,1694,2,3,3,6,Medium
Kogi,5374,3074,1,2,5,17,High
Lagos,5010,869,4,3,4,20,High
Kwara,10125,1099,3,2,1,1,Medium
Niger,6168,1843,3,2,1,18,High
Osun,12762,1488,2,4,4,20,High
Gombe,3340,1284,2,5,2,17,Medium
Cross River,13239,2594,4,4,5,11,Medium
Borno,3266,2287,4,1,1,3,Low
Bauchi,11280,855,4,1,5,12,High
Ekiti,10763,2117,5,5,3,0,Low
Kogi,12808,669,5,3,3,3,Medium
Delta,8123,847,4,3,1,16,High
Nasarawa,3927,2279,1,5,3,19,High
Benue,3504,1731,2,5,5,0,Low
Katsina,6310,2201,1,3,1,9,Medium
Borno,1949,1186,5,1,1,15,Medium
Ogun,2133,3315,5,2,2,15,Medium
Kaduna,3705,1285,5,4,5,6,Low
Oyo,9835,3293,2,4,3,20,High
Edo,8177,2319,4,2,1,7,Medium
Akwa Ibom,6539,286,5,2,5,18,High
Borno,1117,490,1,1,2,1,Low
Ondo,6413,490,5,3,2,15,Medium
Benue,9834,741,5,4,5,7,Medium
Niger,8749,1867,2,1,1,13,High
Edo,7939,1883,4,1,1,1,Medium
Ekiti,12931,1589,1,2,2,6,High
Kaduna,8350,774,4,3,2,14,High
Borno,2235,2015,5,1,1,20,High
Kaduna,14697,260,1,2,2,13,High
Imo,8886,1075,4,2,1,12,High
Abia,7396,1286,4,4,3,17,High
Kogi,12770,2193,2,3,2,6,Medium
Adamawa,10489,3213,5,3,1,1,Medium
Adamawa,10571,2152,5,2,5,1,Low
Jigawa,2312,961,1,1,5,7,Medium
Ekiti,2964,2533,2,5,5,1,Low
Katsina,2343,1917,5,5,5,10,Low
Oyo,5272,1036,3,3,2,12,Medium
Bauchi,12004,2843,3,3,4,2,Medium
Abia,8508,2744,5,1,1,17,High
Benue,9288,1286,2,1,3,7,Medium
Edo,5669,846,4,3,5,19,High
Niger,11714,2366,1,3,5,3,Medium
Osun,3200,1283,1,5,1,4,Low
Cross River,5616,2677,2,2,3,20,High
Ondo,5325,2270,4,1,3,2,Low
Kebbi,7939,1333,1,3,1,4,Medium
Kebbi,5291,861,4,4,5,17,Medium
Abia,2832,508,2,1,5,11,Medium
Kano,10052,806,4,1,2,9,High
Edo,14043,363,3,2,2,3,Medium
Edo,13781,2493,4,2,5,7,Medium
Ondo,3662,3476,2,1,4,5,Low
Lagos,6442,3404,4,3,2,5,Medium
Niger,12489,642,4,4,1,7,Medium
Benue,14378,2085,3,2,3,7,High
Abia,11813,991,4,3,3,2,Medium
Nasarawa,5573,1638,5,5,4,10,Low
Abia,2889,1269,2,3,5,1,Low
Anambra,10774,1979,3,4,3,19,High
Jigawa,2894,1777,5,3,2,1,Low
Kwara,8144,206,5,2,5,11,Medium
Enugu,2146,2920,3,3,5,3,Low
Lagos,5920,2277,3,3,4,12,Medium
Kwara,5844,2470,2,4,2,12,Medium
Kogi,13257,912,5,3,5,12,High
Kaduna,14659,201,3,2,3,13,High
Niger,10502,2684,3,4,4,14,High
Kogi,4501,2293,4,1,2,9,Medium
Jigawa,11876,2792,5,1,3,7,Medium
Kogi,6085,1120,2,1,2,1,Medium
Borno,8784,2703,1,4,4,20,High
Kano,4185,3142,4,4,4,7,Low
Bauchi,11748,3016,1,4,1,7,High
Bayelsa,14174,3050,5,1,4,17,High
Borno,14899,697,4,4,2,16,High
Kaduna,10755,1499,4,5,5,13,Medium
Ogun,9976,2026,2,4,4,8,Medium
Nasarawa,5050,2811,3,4,5,20,High
Borno,5499,2001,1,2,3,8,Medium
Ebonyi,6238,2412,1,2,2,7,Medium
Ekiti,12369,825,2,4,1,13,High
Ebonyi,9890,2108,4,2,1,13,High
Ekiti,13612,2592,1,4,5,15,High
Abia,6763,1423,4,5,4,17,Medium
Niger,10883,1103,4,3,2,13,High
Imo,1475,1792,3,2,4,14,Medium
Oyo,3091,2748,5,4,1,18,Medium
Kano,11862,311,1,2,4,14,High
Bayelsa,1823,1265,4,2,3,14,Medium
Ebonyi,6529,3317,4,4,3,8,Medium
Ogun,2341,2126,1,1,5,11,Medium
Borno,11651,481,1,2,1,6,High
Ogun,1333,2744,2,2,2,15,Medium
Kogi,2874,2510,2,3,4,11,Medium
Bayelsa,10926,2687,1,3,2,3,Medium
Kano,1420,1477,5,4,4,6,Low
Akwa Ibom,10700,3028,2,3,1,19,High
Niger,2983,3461,5,3,1,17,Medium
Enugu,11838,1717,1,3,5,0,Medium
Ondo,7882,2207,1,3,4,20,High
Osun,14577,2083,2,2,4,16,High
Kebbi,5425,2722,5,4,4,13,Medium
Ogun,12977,2626,3,2,3,2,Medium
Cross River,8385,1198,4,5,5,12,Medium
Ebonyi,1470,2224,3,4,2,6,Low
Edo,14071,1258,3,5,3,8,Medium
Kaduna,1166,2316,2,2,1,13,Medium
Imo,10096,3305,2,4,4,14,High
Niger,1282,581,3,4,2,7,Low
Delta,11878,2582,3,5,4,16,High
Edo,7971,3255,5,3,3,14,Medium
Cross River,6023,1229,2,2,1,10,Medium
Anambra,13171,2394,2,2,2,15,High
Cross River,12871,2614,5,3,5,3,Medium
Ogun,4180,1413,2,2,3,9,Medium
Abia,12600,2387,2,1,3,1,Medium
Kaduna,5786,3056,2,1,4,0,Low
Kano,5658,2122,4,3,4,5,Low
Adamawa,5136,2156,1,4,1,15,High
Akwa Ibom,10453,2778,1,2,2,18,High
Delta,2395,1216,1,4,5,19,Medium
Katsina,13955,2733,2,4,5,14,High
Oyo,8253,1417,5,3,4,18,High
Katsina,1986,2697,1,2,2,8,Medium
Kogi,2330,843,2,5,2,2,Low
Bayelsa,1043,1873,4,4,5,9,Low
Adamawa,4792,1380,3,1,4,7,Medium
Oyo,5334,3426,5,4,2,3,Low
Kaduna,4683,2852,2,2,3,2,Low
Adamawa,3718,3446,3,5,5,9,Low
Gombe,3037,2119,3,3,4,16,Medium
Kaduna,9090,1993,1,1,5,13,High
Lagos,6280,2672,3,1,1,7,Medium
Kogi,14696,2556,5,3,1,18,High
Adamawa,13502,3297,2,5,4,20,High
Gombe,5557,943,5,4,4,2,Low
Imo,6700,1872,3,1,3,5,Medium
Ebonyi,7744,3041,4,4,3,17,High
Adamawa,8451,560,3,3,3,3,Medium
Nasarawa,7622,2307,1,4,5,13,Medium
Adamawa,4073,2323,3,4,5,20,High
Gombe,13451,411,2,5,3,4,Medium
Oyo,5719,1994,4,1,1,20,High
Katsina,14095,1180,2,5,3,0,Medium
Kaduna,7684,581,2,4,1,3,Medium
Kebbi,14633,830,4,5,3,8,Medium
Enugu,14676,2176,4,4,2,17,High
Bauchi,7284,980,5,2,5,2,Low
Cross River,13659,3435,4,5,3,8,Medium
Ogun,1042,1358,3,5,5,15,Medium
Ondo,3434,2029,5,3,4,10,Low
Kaduna,13498,2425,4,3,4,6,Medium
Kwara,4912,2542,4,4,2,1,Low
Ebonyi,13201,2137,4,2,4,15,High
Adamawa,3068,2257,5,1,3,14,Medium
Anambra,9617,2071,1,4,2,20,High
Bauchi,2225,2123,3,5,3,12,Medium
Kebbi,2315,1545,5,3,4,20,Medium
Kwara,13442,2198,5,5,1,2,Medium
Borno,11340,3003,3,1,2,13,High
Anambra,13457,2795,1,2,4,9,High
Osun,1474,388,3,3,1,11,Medium
Edo,8056,796,2,4,5,18,High
Kogi,13984,937,2,1,2,19,High
Ondo,7267,2738,2,5,4,4,Low
Borno,8555,2812,3,3,4,0,Low
Osun,14183,2105,3,2,5,2,Medium
Gombe,6661,2606,3,3,4,14,Medium
Ondo,5949,1015,4,1,4,7,Medium
Ekiti,10370,1670,5,3,3,0,Low
Ogun,11784,1821,3,5,1,1,Medium
Oyo,10935,3252,4,2,3,19,High
Niger,6772,1097,2,3,5,4,Low
Kebbi,2591,2770,1,4,3,1,Low
Kano,6977,3199,2,3,1,10,Medium
Lagos,7807,919,2,5,2,11,Medium
Jigawa,9221,1316,2,4,3,9,Medium
Lagos,6549,3494,1,1,4,4,Medium
Nasarawa,4696,2970,4,3,5,2,Low
Niger,7464,257,3,1,5,14,High
Edo,12023,3267,3,4,5,20,High
Edo,2775,2964,2,1,4,19,High
Osun,10198,1543,5,1,2,20,High
Ogun,8606,3071,3,1,4,4,Medium
Adamawa,1609,1446,4,1,1,7,Medium
Osun,9807,755,4,3,4,17,High
Enugu,10622,3240,2,1,4,15,High
Katsina,7686,1345,1,2,3,14,High
Gombe,4868,1685,1,5,3,20,High
Edo,1992,1830,3,1,2,14,Medium
Akwa Ibom,11858,1068,5,1,1,10,High
Borno,3063,3423,5,1,2,17,High
Benue,10607,1084,2,2,3,19,High
Abia,5542,792,2,3,5,5,Low
Anambra,11830,305,2,3,1,7,High
Kano,6304,264,2,1,3,4,Medium
Lagos,7897,2354,1,4,1,14,High
Nasarawa,6931,2302,5,4,1,16,High
Borno,11077,377,5,4,3,20,High
Abia,1996,2161,4,1,4,15,Medium
Kwara,8267,501,1,5,3,4,Medium
Akwa Ibom,3067,1326,5,5,5,10,Low
Ekiti,10787,2373,3,5,4,19,High
Enugu,2624,3448,1,2,5,13,Medium
Gombe,4743,1894,3,4,4,13,Medium
Lagos,2557,1480,4,3,3,11,Medium
Bauchi,12252,2142,1,1,1,2,Medium
Enugu,2582,3249,3,5,2,1,Low
Kano,10201,2500,3,4,1,11,High
Ondo,11900,3273,4,3,1,19,High
Delta,6761,624,5,2,5,4,Low
Kogi,8900,1118,1,5,3,11,Medium
Anambra,13494,1341,5,4,2,17,High
Nasarawa,14409,2746,5,1,5,19,High
Oyo,11777,3040,3,2,1,8,High
Kwara,13491,1465,3,1,3,5,Medium
Ondo,3347,2519,4,2,1,20,High
Abia,2503,3256,5,4,2,13,Medium
Gombe,6585,844,3,3,3,18,High
Katsina,2391,415,2,5,2,1,Low
Kogi,2336,1314,4,4,4,19,Medium
Gombe,7785,1318,2,1,5,11,Medium
Enugu,2816,1360,5,5,4,9,Low
Adamawa,4612,1818,5,1,1,6,Medium
Delta,4460,3343,2,3,3,10,Medium
Anambra,1126,2237,4,2,2,12,Medium
Kaduna,12528,1142,5,3,5,2,Low
Ekiti,13157,373,4,4,1,2,Medium
Ondo,6129,2558,4,4,5,20,High
Enugu,5743,671,4,3,1,5,Medium
Niger,11127,2084,3,4,1,3,Medium
